ap,rawX,rawY,transX,transY
ref1,107,276,200,-100
ref2,522,689,300,-200
7704-perkins-311a-c-02-3802i,614,390,,
7704-perkins-311a-c-03-3802i,513,237,,
7704-perkins-311a-c-04-3802i,520,110,,
7704-perkins-311a-c-05-3802i,377,108,,
7704-perkins-311a-c-06-3802i,424,447,,
7704-perkins-311a-c-07-3802i,321,302,,
7704-perkins-311a-c-08-3802i,320,487,,
7704-perkins-311a-c-09-3802i,255,110,,
7704-perkins-311a-c-10-3802i,242,409,,
7704-perkins-311A-C23-3802I,767,180,,
7704-perkins-311b-c-15-3802i,141,627,,
7704-perkins-311b-c-16-3802i,276,717,,
7704-perkins-311-c-01-3802i,491,543,,
7704-perkins-311c-c-17-3802i,413,707,,
7704-perkins-311c-c-18-3802i,604,754,,
7704-perkins-311c-c-19-3802i,761,598,,
7704-perkins-318p-c,767,300,,
7704-perkins-318t-h-c,762,492,,
7704-perkins-318v-h-c,765,388,,
7704-perkins-321q-c,182,409,,
7704-perkins-321s-h-c,182,304,,
7704-perkins-321w-c,177,226,,
7704-perkins-321y-h-c,185,499,,
